dataset_name,task_type,accuracy_ensemble,fit_seconds_ensemble,predict_seconds_ensemble,ttt_update_seconds_ensemble,accuracy_icl,fit_seconds_icl,predict_seconds_icl,ttt_update_seconds_icl,delta_ensemble_minus_icl,delta_pp,total_seconds_ensemble,total_seconds_icl,winner
BNG(tic-tac-toe),binclass,0.817246634493269,978.4342250823976,19.76950740814209,978.0838840007782,0.8153416306832614,82.72842240333557,19.298699140548703,82.36221194267273,0.0019050038100075772,0.19050038100075772,998.2037324905397,102.02712154388428,ensemble
eeg-eye-state,binclass,0.9929906542056076,164.49842047691345,4.914208889007568,164.3476939201355,0.9913217623497996,14.23047375679016,4.494661331176758,14.079893827438354,0.0016688918558079857,0.16688918558079857,169.41262936592102,18.72513508796692,ensemble
telco-customer-churn,binclass,0.8062455642299503,47.6758918762207,2.0649971961975098,47.54519867897034,0.8048261178140526,4.584915399551392,1.7863926887512207,4.455748558044434,0.0014194464158977516,0.14194464158977516,49.74088907241821,6.371308088302612,ensemble
Amazon_employee_access,binclass,0.9455294476655478,574.042530298233,12.680395603179932,573.8026185035706,0.9441562404638388,59.12992453575134,12.226089239120483,58.88638496398926,0.0013732072017089703,0.13732072017089703,586.722925901413,71.35601377487183,ensemble
okcupid_stem,multiclass,0.7490629685157422,471.0994143486023,11.021568536758425,470.7963094711304,0.7477511244377811,40.48950815200806,10.84296941757202,40.17923521995544,0.001311844077961033,0.1311844077961033,482.1209828853607,51.33247756958008,ensemble
water_quality,binclass,0.909375,56.82884907722473,2.328317165374756,56.74373912811279,0.908125,5.265215158462524,1.9391930103302,5.176280498504639,0.0012500000000000844,0.12500000000000844,59.15716624259949,7.204408168792725,ensemble
htru,binclass,0.9807262569832402,221.8118178844452,5.812368631362915,221.7096011638641,0.979608938547486,19.16658067703247,5.269997596740723,19.06314468383789,0.0011173184357542443,0.11173184357542443,227.6241865158081,24.436578273773193,ensemble
FICO-HELOC-cleaned,binclass,0.7448101265822785,85.89170217514038,3.1674044132232666,85.72428941726685,0.7437974683544304,7.693865537643433,2.90926194190979,7.526027679443359,0.0010126582278481289,0.10126582278481289,89.05910658836365,10.603127479553223,ensemble
rl,binclass,0.8551307847082495,26.99138236045837,1.2538330554962158,26.928377151489254,0.8541247484909457,2.750671148300171,1.1822762489318848,2.686765670776367,0.001006036217303885,0.1006036217303885,28.245215415954586,3.9329473972320557,ensemble
E-CommereShippingData,binclass,0.6768181818181818,95.68957424163818,3.189237594604492,95.59836888313292,0.6759090909090909,8.610041618347168,2.633472681045532,8.5192711353302,0.0009090909090908594,0.09090909090908594,98.87881183624268,11.2435142993927,ensemble
optdigits,multiclass,0.99644128113879,46.24586868286133,2.5759117603302,46.00402212142944,0.9955516014234876,4.575749635696411,2.4018826484680176,4.329274892807007,0.000889679715302405,0.0889679715302405,48.82178044319153,6.977632284164429,ensemble
HR_Analytics_Job_Change_of_Data_Scientists,binclass,0.8008872651356994,255.11638116836548,6.769710063934326,254.8997094631195,0.8001043841336117,21.734415531158447,6.318466663360596,21.514349937438965,0.0007828810020876764,0.07828810020876764,261.8860912322998,28.052882194519043,ensemble
