dataset,key,layer,group,shape,numel,base_norm,current_norm,delta_l2,rel_l2,mean_abs_delta,median_abs_delta,max_abs_delta,rms_delta,changed_fraction_exact,changed_fraction_gt_1e_12,cosine_similarity
Amazon,icl_predictor.tf_icl.blocks.3.norm1.bias,block_03,norm1,512,512,0.6347895264625549,0.6348243355751038,0.0005704702925868332,0.0008986762837202948,2.124677848769352e-05,2.0138919353485107e-05,5.025789141654968e-05,2.5211463496856733e-05,1.0,1.0,0.9999996423721313
Amazon,icl_predictor.tf_icl.blocks.3.norm2.weight,block_03,norm2,512,512,21.227977752685547,21.227937698364258,0.0006719678640365601,3.165482232293738e-05,2.613617107272148e-05,2.5570392608642578e-05,5.048513412475586e-05,2.9697077781733542e-05,1.0,1.0,1.0
Amazon,icl_predictor.tf_icl.blocks.3.norm2.bias,block_03,norm2,512,512,0.547720193862915,0.5476183295249939,0.000607283494900912,0.0011087476812143902,2.323195803910494e-05,2.2293999791145325e-05,4.956871271133423e-05,2.6838390584516284e-05,1.0,1.0,0.9999994039535522
Amazon,icl_predictor.tf_icl.blocks.3.attn.in_proj_weight,block_03,attn.in_proj,1536x512,786432,35.57018280029297,35.57029342651367,0.024919040501117706,0.0007005598099122437,2.4254157324321568e-05,2.3674219846725464e-05,5.0768256187438965e-05,2.8100152895200266e-05,0.999963104724884,0.999963104724884,1.00003981590271
Amazon,icl_predictor.tf_icl.blocks.3.attn.in_proj_bias,block_03,attn.in_proj,1536,1536,1.4315775632858276,1.4316121339797974,0.0008047030423767865,0.0005621092862961823,1.4375910723174457e-05,1.0796822607517242e-05,5.009397864341736e-05,2.0532415935773422e-05,0.9973958134651184,0.9973958134651184,0.9999996423721313
Amazon,icl_predictor.tf_icl.blocks.3.attn.out_proj.weight,block_03,attn.out_proj,512x512,262144,11.99035358428955,11.990339279174805,0.015129542909562588,0.0012618095707690323,2.5749450287548825e-05,2.57883220911026e-05,5.0751492381095886e-05,2.954997199599548e-05,0.9999847412109375,0.9999847412109375,1.0000098943710327
Amazon,icl_predictor.tf_icl.blocks.3.attn.out_proj.bias,block_03,attn.out_proj,512,512,0.3739965558052063,0.37386277318000793,0.0005944896256551147,0.0015895590919911072,2.2485088265966624e-05,2.1744519472122192e-05,4.999712109565735e-05,2.6272981629995553e-05,1.0,1.0,0.9999988079071045
Amazon,icl_predictor.tf_icl.blocks.4.linear1.weight,block_04,ffn.linear1,1024x512,524288,23.609508514404297,23.609464645385742,0.021494662389159203,0.0009104239665151978,2.5705003281473182e-05,2.561137080192566e-05,5.075335502624512e-05,2.968583868114692e-05,0.9999713897705078,0.9999713897705078,1.0000187158584595
Amazon,icl_predictor.tf_icl.blocks.4.linear1.bias,block_04,ffn.linear1,1024,1024,1.0754454135894775,1.0754882097244263,0.0007718272390775383,0.0007176814641858195,1.9631395844044164e-05,1.759640872478485e-05,5.036592483520508e-05,2.411960082708447e-05,1.0,1.0,0.9999998807907104
Amazon,icl_predictor.tf_icl.blocks.4.linear2.weight,block_04,ffn.linear2,512x1024,524288,13.859457015991211,13.859482765197754,0.022289810702204704,0.0016082744566749505,2.7083973691333085e-05,2.7943402528762817e-05,5.078059621155262e-05,3.0784015667912e-05,0.9999885559082031,0.9999885559082031,1.0000252723693848
